fans,lights,fridge,tv,ac,water_heater,washing_machine,microwave,num_family_members,house_size,num_rooms,voltage,electricity_bill
2,11,1,1,0,1,1,0,1,2771,1,231.58995109536824,3080.911932436271
2,4,1,1,1,0,1,1,6,390,6,232.61036718666094,4199.875995419989
4,14,0,0,0,1,0,0,1,1578,6,235.96062812356521,2726.6626450674994
0,11,1,1,0,0,1,0,2,2161,7,225.74539681394646,1541.81517098749
2,17,1,0,1,0,0,0,4,661,4,240.69604529034524,4376.1082976984935
3,8,2,1,0,0,0,0,6,729,3,235.43979971663754,1638.601009218833
5,9,1,1,1,0,0,0,1,3002,5,233.64102565945387,4348.774911168883
1,12,1,1,0,1,1,0,5,747,6,233.19062349672942,3128.2772369956133
1,8,1,1,1,1,0,0,3,649,7,234.49696178186872,5410.462309149403
4,13,2,0,1,0,1,0,2,3899,5,224.45803632569056,4901.039797500993
4,13,1,2,1,1,0,0,3,2187,5,244.91030992074758,5997.196047317619
1,11,1,2,1,0,0,0,4,1712,8,246.98367233495983,4248.073419656204
4,15,1,1,0,1,0,0,2,3496,4,223.44537946193424,3187.526201539756
2,6,1,1,2,0,0,0,5,1238,9,233.14969712652345,6807.57297844039
5,13,1,1,1,1,0,1,2,1104,9,236.83285452034718,6049.467488957869
2,9,0,1,0,0,1,0,3,3493,1,209.09765829510675,1321.7271757469093
1,16,1,1,0,0,0,0,2,820,8,217.2783295064154,1633.9533693663082
4,5,1,1,1,0,0,0,5,1795,5,233.8633496808747,4010.950031719135
2,8,1,1,0,0,0,1,1,3720,4,228.77980946457694,1385.4641743883612
2,12,2,1,0,0,1,0,4,1853,4,237.79676912720427,2030.8560533151606
5,6,1,1,0,0,0,1,5,2542,6,238.02355319562787,1463.8446178850327
2,8,0,1,0,1,0,0,4,2753,8,234.7376610447046,2414.3574940118806
5,12,1,2,1,1,1,0,4,2261,6,250.0,6299.410498537193
3,14,1,1,0,0,0,1,5,441,6,226.1965739357605,1767.796588732858
2,8,1,1,0,0,1,0,2,2559,2,245.10788377846154,1529.383177053078
5,14,1,1,0,0,0,1,7,2024,3,227.10588933158337,1928.3720417483166
5,11,2,0,2,0,0,0,2,2268,2,236.32591848671768,7319.876169233122
2,6,0,1,1,0,0,0,6,383,1,233.19622751934284,3704.4398191725595
1,7,1,2,0,1,1,1,6,597,1,235.34693868825897,3006.3484967400614
0,10,1,1,1,1,0,0,7,1553,3,234.12272614926655,5397.632271799727
1,7,1,1,1,1,0,0,5,3920,3,248.18735083107634,5326.068772404206
3,7,1,0,1,0,1,1,7,553,8,238.0917234952492,4286.93849892741
3,10,1,1,1,0,0,1,3,1519,9,233.64113989079385,4328.016170497677
4,10,1,1,1,1,1,0,2,1034,4,239.2424009725254,5994.641706567395
6,8,2,0,1,0,1,1,3,1496,8,220.87871410754394,4856.570747607922
1,8,1,0,0,0,0,1,4,3498,7,226.91783929753552,1137.9103203339596
4,9,1,1,0,1,0,1,5,348,6,231.80039137751805,2917.5464885272354
6,9,1,0,0,0,0,0,4,1965,1,236.77160437611346,1388.6648157956795
1,11,1,0,1,1,1,0,6,2535,2,229.87599264344635,5676.425546907519
2,15,1,0,0,0,1,0,2,500,5,228.40573502121066,1779.9706577473535
2,9,2,1,0,1,0,0,6,3564,9,232.67617371690523,3036.228620213401
5,9,1,1,1,0,1,1,2,3322,4,226.12846670833537,4738.742649501674
5,7,1,0,0,1,0,0,2,844,6,237.75381738043802,2712.2107311778973
2,9,1,2,0,0,0,0,7,709,4,225.49371943007952,1404.1641204173136
3,10,2,0,0,0,0,0,4,1226,2,239.27459325693573,1563.320587810804
5,7,1,1,0,0,0,0,4,2294,4,239.31975347121784,1464.2992388352866
3,14,1,1,0,0,0,0,2,1357,1,243.22371512726758,1640.1327468255524
7,13,1,1,0,0,0,0,5,1340,8,240.87135458957988,1899.582705538971
5,8,1,1,0,0,0,0,2,3197,8,238.21865507880142,1399.07447058411
5,11,1,1,0,0,1,0,1,1561,2,222.01723935155297,1894.1054073762668
1,13,1,1,0,0,0,1,5,3220,2,230.108085314335,1612.2671864260917
0,7,1,1,0,0,0,0,7,3509,7,236.9456653331954,1042.2073323256536
2,18,1,1,0,0,0,0,7,2536,5,240.98581582739598,1816.214669849368
2,8,1,1,0,0,1,0,2,1503,6,232.51859754215621,1520.305044236538
1,7,1,1,1,0,0,0,1,1819,2,224.15580418941514,3966.758008133813
0,13,1,1,1,0,0,1,3,874,2,225.1197937105636,4294.521816710492
2,12,1,1,1,1,0,0,1,2019,7,248.77109211663029,5711.028583657234
3,10,1,2,1,0,0,0,6,1361,1,239.55137403292827,4348.318261228499
2,13,2,1,0,0,1,1,5,984,9,237.77823897103735,2257.375504469269
2,10,0,1,1,1,1,0,5,3887,9,239.28271812122347,5567.70853346016
4,11,0,1,0,0,1,0,1,2950,9,231.26102276052993,1625.2941739436899
4,12,1,1,0,0,1,1,6,2407,8,250.0,2007.1723451903913
2,8,1,0,0,0,1,0,3,2067,9,222.39103823628253,1334.5852323273723
2,14,0,2,0,0,0,0,1,3492,6,224.85898200583074,1421.382693273966
0,6,1,1,1,1,1,0,3,3148,4,249.17045785501227,5472.682174498936
6,9,1,1,0,0,1,0,5,3049,6,230.99740535097638,1831.7320722931731
1,8,1,0,0,0,1,0,5,3202,4,232.1663358449887,1279.6613158598814
4,11,0,1,1,0,1,0,4,1087,6,246.84900399705134,4360.740642055796
4,18,1,2,1,1,0,1,3,2567,3,250.0,6377.51162272962
3,9,1,0,0,0,1,1,1,3031,5,232.3610865929524,1651.0276252488843
1,5,1,1,1,1,1,0,3,3777,4,233.26331812167734,5519.965329819524
0,9,1,1,1,0,0,0,1,2817,1,232.3581412308532,3952.4281004741656
1,9,0,1,1,1,1,0,5,1986,3,239.39503718081176,5460.555340945693
0,9,1,1,0,0,1,0,5,2856,4,221.1820809630115,1478.969845925521
3,11,1,1,0,1,0,0,6,3555,1,239.20791556993595,2863.919186623042
3,7,1,1,0,1,0,0,2,1885,9,220.3311989066577,2710.8101647999
4,7,1,0,1,0,1,0,5,3881,9,233.0137337184173,4260.4854886252015
2,11,1,1,0,0,0,0,7,1663,9,229.93215204264254,1409.920892064279
2,12,0,1,0,0,1,0,5,758,8,232.77833327996507,1451.5768964109382
3,9,1,1,0,1,0,1,5,1921,3,227.1990574627154,2887.785289005636
1,16,1,1,0,1,1,0,1,1552,8,250.0,3293.8121185080286
1,8,0,1,1,0,0,0,1,809,4,242.9168094201507,3726.2661613584924
5,12,1,1,1,0,1,0,2,3453,3,233.6936964371698,4716.265507728518
5,10,1,0,0,1,0,0,2,1200,7,234.89748664322903,2829.542042164767
5,8,1,1,0,0,1,0,7,2318,8,234.12166423752055,1700.2794936114694
1,9,0,0,1,0,0,0,3,1752,6,235.64153096863356,3637.181822774719
0,8,1,1,0,1,0,0,3,1995,2,235.40863214192538,2501.8055577285236
0,12,1,2,0,1,1,0,7,2938,5,239.97438202549336,3139.78657291958
2,16,1,1,0,0,1,0,3,642,3,226.11150934680842,1980.3110215958827
3,12,1,1,0,0,0,0,4,742,6,228.24644817698947,1571.6646412274872
3,17,1,1,0,0,1,0,3,2870,2,241.455675239303,2043.094658136167
5,9,1,1,0,1,0,0,2,2575,2,211.853426700334,2939.3012380161044
2,9,2,1,0,0,1,0,7,2233,9,243.9572369182792,1900.3230304539388
3,8,1,1,0,0,1,0,4,2948,1,226.51385368895495,1599.7264550583632
5,13,1,2,1,1,0,0,3,871,4,248.6043049151548,6094.9703274716185
2,10,1,2,0,0,1,0,2,2409,4,249.92953308236457,1749.8643464175339
4,14,2,1,1,0,0,0,2,1821,1,245.82296144780076,4795.360960602207
4,14,1,1,0,1,0,0,2,3116,7,234.7137844810197,3090.033680326863
3,7,2,0,1,0,0,0,4,389,5,227.62645213084195,4198.056515891137
4,12,1,1,1,0,1,1,5,2575,9,243.11782277277976,4846.4370371515815
2,18,1,1,0,0,0,0,7,3137,1,231.11719119548192,1833.0095096209473
5,7,1,1,0,0,1,0,3,1386,8,228.14598519163914,1678.6738006277121
2,12,1,1,0,0,0,0,5,3210,8,222.91755031964155,1474.8771267218751
2,6,1,1,0,0,0,0,6,2264,5,238.7241790669995,1170.3390345733533
4,16,0,1,0,0,0,0,6,3024,2,226.81781683338002,1539.537473256842
2,10,1,1,1,0,1,0,2,2187,9,242.9102879853127,4437.400119130504
1,9,2,1,2,0,1,1,7,3836,7,247.4435443754971,7514.080261555329
3,9,1,1,1,0,0,0,7,2410,7,230.61174307583957,4212.700236865074
0,10,1,1,1,0,1,1,1,3199,1,232.07616806819814,4404.908996423783
3,17,1,2,1,0,1,0,1,1855,4,250.0,5013.128096431833
3,5,0,1,1,0,0,0,4,618,4,224.2583497153133,3671.6781974500145
1,10,1,1,1,0,0,0,7,1428,5,236.63927789537462,4083.353418077073
4,8,1,0,0,0,1,0,7,1303,2,222.78369668051863,1518.154526723625
6,7,2,1,1,0,0,0,5,1092,8,235.1491865504638,4570.250530757863
6,12,1,0,0,1,0,1,5,3583,8,233.83981749683102,3088.712329628197
1,13,1,0,0,0,0,0,6,2792,8,228.41167378235028,1347.1083944092452
3,14,1,0,0,0,1,0,6,2536,9,223.89884306585907,1812.8460616541695
0,16,1,2,0,1,1,1,1,1798,1,239.08082866863225,3490.1552785778213
2,10,1,1,0,0,0,0,1,2561,7,229.49474315867474,1355.743008468186
5,11,1,0,0,1,0,1,5,3764,2,240.39814605733895,2937.6149699901844
4,4,1,1,0,1,0,0,1,3745,5,228.7620772747186,2551.9318431303004
2,14,1,1,0,1,0,0,5,1377,4,236.29728147025708,3027.7670270022477
3,13,1,2,0,0,0,0,6,1531,3,232.63468693661065,1713.1044679666063
3,7,0,0,0,0,1,0,2,3493,6,216.1746246523819,1141.9378640926993
6,10,2,1,0,1,1,1,3,2315,9,230.69968059596897,3684.8899777105576
5,8,1,2,0,1,1,1,1,1093,3,226.49690059523252,3417.1734086846973
5,8,0,1,1,0,0,0,6,1535,8,232.79796054996072,3994.0740469863417
2,7,1,1,1,0,0,0,4,1047,4,240.76116583844578,4010.0180517370277
2,8,1,1,0,1,1,1,3,1562,8,235.99930646176514,3040.8149383405553
0,12,1,1,0,0,1,0,3,499,6,222.71259467567623,1634.1352333012069
4,13,2,0,0,0,0,0,7,1507,8,237.45526889121743,1819.5526661358754
4,17,2,1,0,1,1,0,3,2235,9,250.0,3899.01763559886
5,9,1,1,0,0,0,0,5,2817,6,238.7784128334033,1487.3538711733584
4,12,1,0,1,0,0,1,4,1503,5,235.53808374136048,4431.058862857072
2,11,0,0,2,0,0,0,6,3507,3,249.25564602656343,6586.432967164158
5,10,1,1,0,1,0,0,6,3650,2,250.0,2930.9253887775626
5,9,1,1,0,0,1,1,5,1997,2,227.95949606325922,1947.4624630356811
1,8,1,1,0,0,1,0,7,2244,4,229.8722171205344,1462.0392104282635
2,12,1,1,1,0,1,0,3,3252,4,226.09563906224724,4563.763253216156
10,9,0,1,0,0,0,0,6,2112,4,228.42884922817444,1599.933632970044
3,10,1,1,0,0,0,0,7,3663,2,224.94826178117793,1433.6940757010761
3,9,0,1,0,1,0,0,4,3480,2,231.47871968650756,2504.984835106467
4,13,1,0,0,0,0,0,1,344,4,237.07132720220898,1533.6758380515441
4,11,1,1,0,0,1,0,1,1253,6,211.5318795702923,1854.455584688162
4,11,1,0,1,0,0,0,4,485,9,227.1913679220233,4222.493941853494
2,9,1,0,0,1,0,1,5,644,2,245.93396408630198,2701.1744107637037
2,14,1,1,0,0,1,0,7,2838,2,232.17646866254128,1912.3265826641837
3,11,1,1,0,0,0,1,7,2504,9,235.09413970200808,1607.1417757219108
1,8,1,1,0,1,0,0,4,3308,3,228.54932710010908,2540.0515169140886
3,12,1,1,0,0,1,0,3,965,2,228.10291644919036,1819.5295370310284
5,4,1,1,1,0,0,0,5,2506,6,219.46445978033887,3994.5333468457115
5,7,1,1,0,1,0,0,5,2164,6,230.68035965022773,2866.809702540828
2,14,1,1,0,1,0,0,1,2034,4,245.21791768396665,3012.222739274287
4,15,1,1,0,0,0,0,4,1690,2,241.62819695291012,1818.6919400088093
2,6,1,1,0,1,1,0,4,897,4,238.24912826603986,2830.9333111550663
1,11,1,1,0,0,1,0,3,2050,3,222.17847937000505,1575.3200936707326
2,9,1,2,0,1,1,0,7,3122,4,231.39303660092492,3074.2640795218877
2,11,1,1,2,1,1,0,2,3876,1,244.26954817812367,8662.555592852177
1,12,1,1,1,1,1,1,2,1239,4,230.04824353252553,5983.317030189929
4,11,1,0,0,0,0,0,4,3336,5,229.86615846025003,1395.6860018707082
2,11,1,1,0,1,0,1,7,3019,4,227.15574994951788,2968.2169893833225
2,9,1,1,0,1,0,1,1,3287,8,216.16526297972467,2804.3369652707515
2,14,1,1,1,0,1,1,7,3139,1,236.75177699016228,4763.744925871945
1,11,1,1,0,0,0,0,7,1233,9,231.9966849334501,1343.4404090285234
0,5,0,1,0,1,0,1,6,3723,1,243.77512939885455,2168.8723145264366
3,9,2,1,0,1,0,0,6,2578,7,233.53941933264366,3048.7682954176007
4,11,1,1,2,1,1,0,2,1076,2,239.5480919229,8861.121798642323
2,13,2,1,1,0,0,1,3,2282,1,247.47213498579507,4723.808713466672
2,10,1,1,0,0,0,0,3,1557,2,233.6749679205532,1372.973183677578
3,9,1,1,0,0,0,0,6,1245,6,228.14853565053053,1388.8604183869775
3,13,1,0,0,0,0,0,1,947,2,221.31649009426383,1472.3743613923605
1,14,1,1,0,0,1,0,3,1357,6,248.12124489967908,1793.9032945629506
4,10,0,1,1,0,0,0,6,3601,9,233.99461145182005,4000.5800338222684
4,9,1,1,1,0,1,0,3,569,2,232.52243664551187,4495.286946625092
4,13,1,1,0,0,0,0,2,1150,1,236.78764084758913,1694.8664928682565
2,11,1,0,0,0,0,0,7,1704,7,229.57520471718797,1287.2560649450475
3,8,1,1,0,0,1,0,2,3838,6,224.07389275173875,1653.4470530553676
2,9,1,1,0,1,0,0,7,1217,3,246.22978085677744,2705.5971742406996
0,9,1,1,0,0,1,0,2,453,7,228.6903403671722,1447.6103550608618
2,14,1,0,1,1,0,0,3,1651,8,246.7913334239024,5661.519478847576
1,13,2,1,0,0,0,0,3,3693,5,225.20089994372486,1778.1952961800846
5,9,1,0,0,1,1,0,1,824,7,230.1340678107426,3071.3059950891907
4,9,1,1,0,0,1,0,7,2089,3,232.38007858613872,1759.7226219196875
1,12,1,2,1,0,0,0,5,1862,8,231.30529582620852,4371.95091800154
1,8,1,1,0,1,0,0,1,3708,6,232.47046418491738,2535.5278412547755
4,11,1,0,0,0,1,1,3,1987,8,223.41364776540198,1787.7841112037515
4,7,0,1,1,0,1,0,5,1745,7,223.63529399198347,4105.481893146863
3,8,1,1,1,1,1,0,7,2660,2,250.0,5845.96617281614
1,12,1,0,0,1,0,0,1,2715,5,236.0494990931304,2690.1137707030935
3,7,1,2,0,0,1,0,7,3898,3,234.74021790096992,1661.0444542054408
1,6,1,1,0,0,1,0,2,2893,6,222.04023443093297,1361.7008888793691
5,11,0,1,0,0,0,0,3,1630,3,233.4158918421539,1336.7063893702116
6,12,1,2,1,0,1,0,7,464,9,226.39891489927945,4944.914037520448
3,10,1,0,0,0,0,0,1,3309,7,229.02077028505155,1315.9366981200656
3,13,1,1,0,1,0,0,2,3897,8,228.40853481450148,3040.690633438045
2,5,0,1,1,0,1,1,3,2654,9,231.81753420246787,4036.3806382340836
2,10,1,0,0,1,1,0,4,932,3,238.6752947176145,2909.0731075857566
1,5,1,1,0,0,0,0,6,2210,8,233.02893115749413,1093.0245252534992
2,7,0,1,1,0,1,0,2,408,5,231.87214074809134,4006.251162006165
2,11,1,0,0,1,0,1,5,3593,4,222.3320638079744,2798.8717946898555
1,13,1,0,1,0,1,1,2,2860,2,223.274754879391,4512.684676248897
2,9,1,1,1,0,0,1,1,1505,2,233.10984198769697,4245.34636135872
2,10,1,0,1,1,1,1,2,2477,6,241.6353986785317,5807.262452715592
5,6,1,1,1,1,1,0,5,2901,3,243.3944681421882,5811.7090140565815
4,11,1,1,1,0,0,0,6,3732,5,235.10879287684156,4313.991969745067
5,17,1,0,1,1,0,1,4,3157,3,233.1661225142253,6092.902941850502
4,11,1,1,1,0,1,1,2,2430,2,221.9173763493978,4733.36118604815
2,13,2,1,1,0,1,0,5,3340,8,213.57831996348727,4902.887533642523
4,5,1,0,1,0,1,0,7,1759,1,235.24492601015734,4159.982346883424
2,10,1,1,0,0,1,0,2,2840,3,223.3920859273707,1658.2076957007357
3,10,1,0,0,0,1,0,4,3314,6,227.60068552473234,1586.725190696038
2,6,1,2,0,0,0,0,5,1422,6,230.52497696103813,1291.2977386256368
3,17,1,1,1,1,0,0,5,3680,7,244.11372649493993,6020.191507839417
3,5,1,1,1,1,0,0,6,1119,7,225.09889896294405,5340.524808025479
3,12,1,0,0,0,0,1,6,3993,4,213.9925844229889,1552.0395762360138
6,7,1,0,1,1,0,1,7,1252,2,232.64600903728535,5633.602628039293
1,19,0,1,1,0,0,1,3,2354,9,233.82817561049376,4415.579009791577
5,8,1,1,1,0,1,0,3,555,9,226.84692066783686,4587.637832957633
7,12,0,0,0,1,0,0,6,1588,2,238.39924003135943,2853.245384967876
3,7,1,1,0,0,0,0,6,3768,1,238.9204724898202,1261.6934950086961
1,13,1,1,0,0,0,0,6,1886,1,231.80611570477186,1457.1660338625356
3,7,1,0,1,1,1,0,6,1242,8,228.5724307103829,5655.418810424277
2,6,1,1,0,1,1,0,5,774,5,231.40786773019678,2853.756985491223
2,9,1,1,1,1,1,1,6,767,8,227.12961327117287,5897.299619414726
4,9,1,1,1,0,0,0,3,3567,3,250.0,4265.62081104492
4,7,1,1,0,1,0,1,1,1985,8,246.06281498834863,2888.7579490895982
3,9,1,1,1,0,1,0,1,1557,4,238.98000131131553,4488.102394777775
1,11,1,1,1,1,1,0,6,2958,8,229.97948745567436,5825.208878515958
5,12,0,0,0,1,0,0,3,2340,4,239.1228202188,2577.0126238083803
4,12,1,1,0,1,1,0,6,3843,9,227.0741571997922,3238.320531422328
3,11,1,1,0,0,0,0,1,3428,6,239.9788942768846,1486.8884896981424
8,10,1,1,1,1,0,0,6,1702,6,248.99826280337967,5956.31269263104
5,14,1,0,0,0,1,0,7,2081,6,227.09599410981687,1948.8340465527924
5,15,2,1,0,0,0,0,3,3297,5,238.73399431676256,2194.5984062204902
2,11,0,1,0,0,1,0,3,872,3,223.39271062936214,1419.699314721573
4,10,1,1,0,0,0,1,3,464,3,233.78293932048655,1634.8541008572256
1,9,1,1,0,0,1,0,3,1754,8,238.7838850566415,1530.2723282295497
3,8,1,1,0,1,1,0,7,3715,8,216.82724755731448,3035.1554376124855
2,8,1,1,1,1,0,0,5,2497,2,229.29971712285976,5474.31955441425
5,11,2,1,0,1,0,0,3,854,4,239.0379819862546,3337.245791750951
4,10,1,1,1,0,1,0,5,3527,5,231.2643663334944,4604.563096376706
1,13,1,2,0,0,0,0,4,463,6,247.40231907494748,1627.4767800546208
3,8,1,1,0,0,0,1,7,3098,1,213.99510035747363,1405.5143707800805
5,15,1,1,0,0,1,1,2,867,4,215.0568970411076,2213.9291734798103
1,10,1,1,0,0,0,1,3,3780,6,232.0020995967236,1439.7165390909906
2,7,1,1,1,0,0,0,6,2264,1,237.2930433607347,3990.4910865194606
4,5,2,1,0,1,0,0,2,1109,5,233.4996340949774,2880.018128964718
0,16,0,0,1,0,1,0,4,2872,4,236.42778963854803,4233.752872616749
3,18,1,1,1,0,0,0,7,1902,3,246.34002166135699,4710.888124257118
4,11,1,1,1,0,0,0,6,3242,3,235.17907588101846,4380.147197739107
1,9,1,2,0,0,1,1,4,3614,2,222.927648665344,1778.2406717503193
3,8,1,1,1,0,1,0,2,3287,8,230.59600985276262,4433.375072603905
4,12,1,1,1,0,0,0,4,1752,2,230.82324530466636,4424.344355324812
3,7,1,1,1,0,1,0,7,1469,8,224.3944703153182,4347.828434221738
4,6,2,0,0,0,1,0,1,1570,2,228.22987668126387,1729.7456405849784
3,11,1,1,0,0,1,0,6,1425,5,226.2006857251508,1786.0993660942192
0,5,1,1,0,0,0,0,1,3873,7,229.2342174419408,971.1595329569545
3,11,2,1,0,0,1,1,7,2839,5,233.1065030663589,2193.185384322143
2,15,1,2,0,1,0,0,4,1296,1,232.22653010231087,3196.0311667935584
2,12,2,1,0,0,0,0,5,2628,8,236.52121005101242,1717.8519749386821
3,12,1,2,0,1,0,0,7,1151,2,249.19531968040425,3050.8911185249312
2,14,1,2,1,0,0,0,1,1235,5,240.40095803900127,4550.855743373934
3,12,1,1,1,0,0,1,7,967,8,240.9166891623224,4407.394103001376
3,14,1,0,1,0,0,0,6,3577,6,241.61386878784333,4289.947502115303
4,6,1,0,0,0,0,1,5,2931,4,217.4638491490108,1261.530147661254
2,8,0,1,1,0,0,1,2,1412,2,224.652537057139,3919.1421510603714
4,9,1,1,0,0,0,0,5,3262,7,236.4585470616583,1463.2324914124592
2,6,1,1,0,1,0,0,5,2240,7,226.90605786100178,2546.112519722052
1,13,1,1,0,1,0,0,5,1868,8,230.98097280287337,2857.2621505775314
3,7,1,2,0,0,0,0,1,2860,8,228.2440125944339,1401.7022174405022
3,6,2,0,0,0,0,0,2,3252,9,235.07993332001118,1315.515149285878
2,9,1,1,0,1,0,1,4,1209,8,245.4258216589871,2809.4460309824913
4,9,1,1,0,0,1,0,5,2385,6,236.53200470930284,1735.7528001684368
4,12,1,2,0,0,0,1,1,2530,7,225.23805433784128,1898.0660083404887
3,15,1,0,1,1,0,1,3,2687,2,236.32644582385404,5865.669540986783
5,9,1,1,0,1,1,0,2,3280,7,234.02977168799325,3228.2388519866013
1,9,1,1,1,1,0,0,3,2281,5,227.29154488311337,5460.237677243455
2,9,1,0,0,1,1,0,6,413,3,240.47364118976768,2854.568095357002
3,12,1,1,0,0,1,1,7,1841,4,227.76424244039126,1919.3110423536782
5,9,1,1,1,0,0,1,7,3404,7,240.8178753403888,4406.386134752308
1,10,1,1,0,0,0,0,7,1484,6,222.5194045862315,1315.591604803146
1,12,1,1,1,0,0,0,6,2991,2,234.99824684351685,4143.091890907464
2,6,1,1,1,0,0,1,6,1612,4,240.99444032850755,4118.658054805552
4,11,1,1,2,0,1,0,4,2447,4,249.60067398899233,7469.713525291351
0,13,2,1,0,1,0,0,3,3828,6,240.99346363985796,3161.000856618965
2,8,1,1,0,0,0,0,3,2954,4,218.37732383484266,1297.1130060394185
4,13,0,1,1,1,0,1,5,2785,9,236.40071789786506,5698.009080490585
4,8,0,1,1,1,0,1,6,2156,4,219.82395686234838,5403.996969778851
1,9,0,1,1,0,1,1,5,1773,7,238.47407058737858,4178.121131022361
1,13,1,0,0,0,0,0,5,3236,8,227.73818994849253,1301.490095571587
1,16,1,2,0,1,1,0,1,2990,8,229.43312861928206,3453.9217906401645
4,13,0,1,1,0,1,0,7,2395,2,239.53123551710524,4504.129837926167
1,8,1,1,0,0,0,0,4,3731,6,224.49798726722074,1170.7633608369235
4,9,1,1,0,0,0,0,7,1965,8,225.15395650609756,1430.1670352810847
6,17,1,1,0,1,0,0,6,2564,3,246.58905319967585,3455.4169514850964
1,15,2,1,0,0,0,0,2,3785,1,250.0,1838.979637343415
4,9,1,1,0,0,0,1,7,1524,4,239.36135483404402,1549.9437630594934
4,7,1,1,2,0,0,0,2,3901,2,238.53101248952044,6928.034660028932
1,18,1,1,0,1,0,1,5,3946,6,230.3972795867129,3224.9243305133805
0,8,1,1,1,1,0,0,5,2059,8,234.71891036297512,5379.421968809916
5,10,1,1,0,0,0,0,6,3369,6,236.67724310300923,1599.8622687474126
4,8,1,1,0,1,0,1,1,2494,6,227.56699737217113,2908.3198590599836
3,5,1,1,0,0,1,0,1,2243,7,217.62558716386548,1428.2017369904759
0,6,1,1,0,0,1,0,2,2950,3,238.96413529309567,1291.541115718378
1,12,1,2,1,1,0,0,6,2234,8,244.369715016282,5825.721506817811
2,11,0,1,0,0,0,0,4,3375,1,235.85523371379014,1166.9924698019402
6,10,1,1,0,0,1,0,5,937,2,227.9861528782749,1935.0214054388778
2,6,1,1,1,1,0,0,4,2969,8,240.94306129429094,5329.940555418873
5,12,1,0,1,0,1,1,7,1505,6,224.28307081756833,4777.622051298699
3,7,1,0,1,1,1,0,1,3907,3,231.71132656365987,5645.600686301369
4,16,1,1,0,0,0,1,3,1522,7,234.98156409838128,1922.8151388835254
5,15,0,1,1,0,0,0,6,1988,6,243.00992606156848,4369.307160159809
5,10,0,0,0,1,0,0,7,1458,9,226.51726401480815,2544.938012052155
2,5,1,1,0,0,1,0,7,2952,8,236.11334509614838,1370.9428625897322
